Time,sCPU,cCost,sFreq,bCPU,bUtil,bFreq,Mem,mCost,mFreq,GPU,gCost,gFreq
1700420956.267485884,sCPU,1,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420956.421416081,sCPU,2,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420956.601456136,sCPU,23,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420956.784523896,sCPU,44,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420956.991879673,sCPU,79,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420957.144776676,sCPU,87,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420957.298052897,sCPU,100,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420957.450848981,sCPU,100,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420957.603983323,sCPU,81,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420957.758523828,sCPU,88,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,41,600000000
1700420957.912515818,sCPU,88,1400000,bCPU,0,2000000,Mem,19,825000000,GPU,19,600000000
1700420958.066585476,sCPU,27,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420958.219498104,sCPU,74,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420958.372512818,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420958.525720704,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420958.679100011,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420958.834284365,sCPU,88,1400000,bCPU,0,2000000,Mem,21,825000000,GPU,41,600000000
1700420958.988783868,sCPU,86,1400000,bCPU,0,2000000,Mem,28,825000000,GPU,38,600000000
1700420959.175343094,sCPU,46,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420959.328519187,sCPU,100,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420959.480399579,sCPU,69,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420959.632467142,sCPU,100,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420959.784383576,sCPU,100,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420959.936121631,sCPU,75,1400000,bCPU,0,2000000,Mem,28,825000000,GPU,34,600000000
1700420960.088737584,sCPU,87,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,41,600000000
1700420960.241729796,sCPU,98,1400000,bCPU,0,2000000,Mem,28,825000000,GPU,0,600000000
1700420960.394917639,sCPU,31,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420960.547011494,sCPU,93,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420960.698965554,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420960.850570730,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420961.002607500,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420961.156537779,sCPU,87,1400000,bCPU,0,2000000,Mem,25,825000000,GPU,27,600000000
1700420961.310213134,sCPU,88,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,40,600000000
1700420961.464184872,sCPU,68,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,1,600000000
1700420961.618777876,sCPU,44,1400000,bCPU,0,2000000,Mem,12,825000000,GPU,0,600000000
1700420961.772802074,sCPU,58,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420961.925778244,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420962.078610201,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420962.232236846,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420962.385878284,sCPU,87,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,40,600000000
1700420962.540870131,sCPU,89,1400000,bCPU,0,2000000,Mem,24,825000000,GPU,29,600000000
1700420962.696350950,sCPU,27,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420962.850044972,sCPU,100,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420963.003033475,sCPU,89,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420963.156026937,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420963.309276488,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420963.462502580,sCPU,88,1400000,bCPU,0,2000000,Mem,22,825000000,GPU,22,600000000
1700420963.615731464,sCPU,87,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,41,600000000
1700420963.771070404,sCPU,77,1400000,bCPU,0,2000000,Mem,12,825000000,GPU,4,600000000
1700420963.925683075,sCPU,45,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420964.078734996,sCPU,62,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420964.232442101,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420964.384863713,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420964.537813298,sCPU,100,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420964.691145934,sCPU,88,1400000,bCPU,0,2000000,Mem,29,825000000,GPU,39,600000000
1700420964.844049226,sCPU,87,1400000,bCPU,0,2000000,Mem,26,825000000,GPU,32,600000000
1700420965.027800875,sCPU,32,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420965.181826112,sCPU,100,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420965.335666762,sCPU,77,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420965.488473426,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420965.641187045,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420965.794374677,sCPU,83,1400000,bCPU,0,2000000,Mem,22,825000000,GPU,22,600000000
1700420965.948069198,sCPU,88,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,40,600000000
1700420966.102695368,sCPU,88,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420966.256264093,sCPU,39,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420966.408212067,sCPU,78,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420966.560238377,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420966.711943219,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420966.864121574,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420967.018095727,sCPU,87,1400000,bCPU,0,2000000,Mem,27,825000000,GPU,31,600000000
1700420967.171548532,sCPU,87,1400000,bCPU,0,2000000,Mem,29,825000000,GPU,39,600000000
1700420967.325650604,sCPU,53,1400000,bCPU,0,2000000,Mem,10,825000000,GPU,0,600000000
1700420967.481628976,sCPU,37,1400000,bCPU,0,2000000,Mem,11,825000000,GPU,0,600000000
1700420967.633976043,sCPU,62,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420967.786340820,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420967.938249626,sCPU,100,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420968.090263476,sCPU,100,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,15,600000000
1700420968.243410439,sCPU,86,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,41,600000000
1700420968.396320313,sCPU,87,1400000,bCPU,0,2000000,Mem,30,825000000,GPU,41,600000000
1700420968.551306950,sCPU,25,1400000,bCPU,0,2000000,Mem,9,825000000,GPU,0,600000000
1700420968.735832242,sCPU,0,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420968.919557721,sCPU,25,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
1700420969.100827761,sCPU,26,1400000,bCPU,0,2000000,Mem,8,825000000,GPU,0,600000000
